participant	trial_id	bloc	bloc_name	trial_id_withinbloc	trial_file_id	order	dwell	practice	diff_global	diff_crowding	diff_innercrowding	diff_deformation	diff_deformation_sum	global	crowding	innercrowding	deformation	deformation_sum	trial_start	trial_end	task_start	task_end	highlight_start	highlight_end	animation_start	animation_end	answer_start	answer_end	target_0	target_1	target_2	answer_0	answer_1	answer_2	error_0	error_1	error_2	error	error_asifA	normalized_error	normalized_error_asifA	common_targets	common_targets_percent	all_common_targets	correct_targets	correct_targets_percent	all_correct_targets	targets_switch	targets_switch_percent	any_targets_switch
p01	0	0	off	0	0	INIT	0.0	true	H	H	M	M	M	0.7570	0.7177	6.9640	0.0244	1.4622	2014-03-18 10:50:36.484	2014-03-18 10:52:41.44	2014-03-18 10:50:44.252	2014-03-18 10:52:41.362	2014-03-18 10:50:44.252	2014-03-18 10:50:46.202	2014-03-18 10:50:57.216	2014-03-18 10:50:59.088	2014-03-18 10:50:59.088	2014-03-18 10:52:41.362	7	8	26	7	2	27	0.0000	0.4678	0.4853	0.3177	0.3177	0.5911	0.5911	1	0.3333	0	1	0.3333	0	0	0.0000	0
p01	1	0	off	1	1	INIT	0.0	true	M	H	E	M	M	0.7342	0.6234	3.4518	0.0169	1.0115	2014-03-18 10:52:43.515	2014-03-18 10:54:05.477	2014-03-18 10:52:48.99	2014-03-18 10:54:04.354	2014-03-18 10:52:48.99	2014-03-18 10:52:54.263	2014-03-18 10:52:58.584	2014-03-18 10:53:00.456	2014-03-18 10:53:00.456	2014-03-18 10:54:04.354	0	11	12	17	14	6	0.7183	0.9286	0.6705	0.7725	0.7175	1.2819	1.1908	0	0.0000	0	0	0.0000	0	0	0.0000	0
p01	2	0	off	2	2	INIT	0.0	true	H	H	M	M	M	0.7764	0.6506	6.3965	0.0113	0.6799	2014-03-18 10:54:07.536	2014-03-18 10:54:45.351	2014-03-18 10:54:14.01	2014-03-18 10:54:45.086	2014-03-18 10:54:14.01	2014-03-18 10:54:21.171	2014-03-18 10:54:22.466	2014-03-18 10:54:24.338	2014-03-18 10:54:24.338	2014-03-18 10:54:45.086	5	13	28	29	4	28	1.1211	0.9232	0.0000	0.6815	0.0736	1.2326	0.1331	1	0.3333	0	1	0.3333	0	0	0.0000	0
p01	3	0	off	3	3	INIT	0.0	true	H	H	M	M	M	0.7784	0.7074	8.3853	0.0160	0.9620	2014-03-18 10:54:47.394	2014-03-18 10:56:32.601	2014-03-18 10:54:48.564	2014-03-18 10:55:27.923	2014-03-18 10:54:48.564	2014-03-18 10:54:57.737	2014-03-18 10:54:58.564	2014-03-18 10:55:00.436	2014-03-18 10:55:00.436	2014-03-18 10:55:27.923	0	3	13	20	3	4	0.6403	0.9138	0.2305	0.5948	0.1694	1.1711	0.3334	1	0.3333	0	0	0.0000	0	1	0.3333	1
p01	4	1	on1	0	0	YORDER	0.2	true	M	M	M	M	M	0.6441	0.6037	6.7516	0.0232	1.3904	2014-03-18 10:56:53.131	2014-03-18 10:58:26.372	2014-03-18 10:56:55.97	2014-03-18 10:57:47.965	2014-03-18 10:56:55.97	2014-03-18 10:57:03.255	2014-03-18 10:57:05.189	2014-03-18 10:57:07.061	2014-03-18 10:57:07.061	2014-03-18 10:57:47.965	7	8	26	2	8	19	0.9038	0.4678	0.5921	0.6546	0.2002	1.2283	0.3757	1	0.3333	0	0	0.0000	0	1	0.3333	1
p01	5	1	on1	1	1	YORDER	0.2	true	M	M	E	M	M	0.7000	0.5211	3.2820	0.0160	0.9627	2014-03-18 10:58:28.431	2014-03-18 10:59:31.565	2014-03-18 10:58:32.175	2014-03-18 10:59:18.039	2014-03-18 10:58:32.175	2014-03-18 10:58:38.244	2014-03-18 10:58:41.364	2014-03-18 10:58:43.236	2014-03-18 10:58:43.236	2014-03-18 10:59:18.039	0	11	12	10	11	16	0.2704	0.0000	0.6386	0.3030	0.3030	0.4985	0.4985	1	0.3333	0	1	0.3333	0	0	0.0000	0
p01	6	1	on1	2	2	YORDER	0.2	true	M	M	M	E	E	0.6970	0.5526	6.0365	0.0100	0.6010	2014-03-18 10:59:33.624	2014-03-18 11:00:15.198	2014-03-18 10:59:35.028	2014-03-18 11:00:04.184	2014-03-18 10:59:35.028	2014-03-18 10:59:48.366	2014-03-18 10:59:49.458	2014-03-18 10:59:51.33	2014-03-18 10:59:51.33	2014-03-18 11:00:04.184	5	13	28	21	13	28	0.9465	0.0000	0.6976	0.5480	0.1040	0.9939	0.1886	2	0.6667	0	1	0.3333	0	1	0.3333	1
p01	7	1	on1	3	3	YORDER	0.2	true	M	H	M	M	M	0.6515	0.6111	8.0479	0.0154	0.9263	2014-03-18 11:00:17.241	2014-03-18 11:00:57.131	2014-03-18 11:00:19.659	2014-03-18 11:00:51.203	2014-03-18 11:00:19.659	2014-03-18 11:00:31.625	2014-03-18 11:00:33.107	2014-03-18 11:00:34.979	2014-03-18 11:00:34.979	2014-03-18 11:00:51.203	0	3	13	23	3	13	0.5488	0.0000	0.0000	0.1829	0.1829	0.3584	0.3584	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	8	2	on2	0	0	YORDER	0.6	true	M	M	M	M	M	0.6797	0.4913	4.5999	0.0190	1.1376	2014-03-18 11:01:16.896	2014-03-18 11:01:55.537	2014-03-18 11:01:19.22	2014-03-18 11:01:44.446	2014-03-18 11:01:19.22	2014-03-18 11:01:25.304	2014-03-18 11:01:27.988	2014-03-18 11:01:29.86	2014-03-18 11:01:29.86	2014-03-18 11:01:44.446	20	22	28	20	14	19	0.0000	0.6997	0.4325	0.3774	0.2527	0.7028	0.4706	1	0.3333	0	1	0.3333	0	0	0.0000	0
p01	9	2	on2	1	1	YORDER	0.6	true	M	M	M	H	H	0.6835	0.5072	4.8063	0.0331	1.9875	2014-03-18 11:01:57.581	2014-03-18 11:02:56.362	2014-03-18 11:02:07.362	2014-03-18 11:02:46.487	2014-03-18 11:02:07.362	2014-03-18 11:02:20.419	2014-03-18 11:02:23.492	2014-03-18 11:02:25.364	2014-03-18 11:02:25.364	2014-03-18 11:02:46.487	9	13	27	20	13	14	0.9304	0.0000	0.4303	0.4536	0.2107	0.8810	0.4092	1	0.3333	0	1	0.3333	0	0	0.0000	0
p01	10	2	on2	2	2	YORDER	0.6	true	M	M	M	M	M	0.6329	0.4711	7.2689	0.0249	1.4952	2014-03-18 11:02:58.421	2014-03-18 11:03:49.09	2014-03-18 11:03:02.461	2014-03-18 11:03:43.162	2014-03-18 11:03:02.461	2014-03-18 11:03:21.072	2014-03-18 11:03:23.1	2014-03-18 11:03:24.972	2014-03-18 11:03:24.972	2014-03-18 11:03:43.162	20	27	28	26	27	28	0.3203	0.0000	0.0000	0.1068	0.1068	0.2078	0.2078	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	11	2	on2	3	3	YORDER	0.6	true	E	E	M	M	M	0.5973	0.4256	4.8502	0.0211	1.2657	2014-03-18 11:03:51.165	2014-03-18 11:04:40.195	2014-03-18 11:04:02.069	2014-03-18 11:04:38.074	2014-03-18 11:04:02.069	2014-03-18 11:04:14.799	2014-03-18 11:04:21.257	2014-03-18 11:04:23.129	2014-03-18 11:04:23.129	2014-03-18 11:04:38.074	6	7	21	28	7	21	0.4654	0.0000	0.0000	0.1551	0.1551	0.2998	0.2998	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	12	3	on3	0	0	MINCROWDING	0.2	true	E	M	M	M	M	0.5809	0.5521	5.2637	0.0224	1.3444	2014-03-18 11:05:06.871	2014-03-18 11:05:43.984	2014-03-18 11:05:11.021	2014-03-18 11:05:40.068	2014-03-18 11:05:11.021	2014-03-18 11:05:20.288	2014-03-18 11:05:25.67	2014-03-18 11:05:27.542	2014-03-18 11:05:27.542	2014-03-18 11:05:40.068	5	12	23	10	12	23	0.1651	0.0000	0.0000	0.0550	0.0550	0.1084	0.1084	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	13	3	on3	1	1	MINCROWDING	0.2	true	E	M	M	M	M	0.6215	0.4980	7.1775	0.0253	1.5193	2014-03-18 11:05:48.773	2014-03-18 11:06:26.166	2014-03-18 11:05:51.831	2014-03-18 11:06:23.577	2014-03-18 11:05:51.831	2014-03-18 11:06:07.93	2014-03-18 11:06:09.303	2014-03-18 11:06:11.175	2014-03-18 11:06:11.175	2014-03-18 11:06:23.577	3	7	21	15	7	21	0.6075	0.0000	0.0000	0.2025	0.2025	0.3340	0.3340	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	14	3	on3	2	2	MINCROWDING	0.2	true	E	E	E	M	M	0.5397	0.4261	2.3951	0.0142	0.8527	2014-03-18 11:06:30.924	2014-03-18 11:07:30.407	2014-03-18 11:06:32.344	2014-03-18 11:07:04.87	2014-03-18 11:06:32.344	2014-03-18 11:06:42.609	2014-03-18 11:06:46.556	2014-03-18 11:06:48.428	2014-03-18 11:06:48.428	2014-03-18 11:07:04.87	8	9	26	8	9	26	0.0000	0.0834	0.0834	0.0556	0.0000	0.0867	0.0000	3	1.0000	1	1	0.3333	0	2	0.6667	1
p01	15	3	on3	3	3	MINCROWDING	0.2	true	E	M	M	H	H	0.5810	0.5337	6.3245	0.0292	1.7509	2014-03-18 11:07:35.165	2014-03-18 11:08:19.033	2014-03-18 11:07:37.193	2014-03-18 11:08:13.791	2014-03-18 11:07:37.193	2014-03-18 11:07:47.755	2014-03-18 11:07:51.577	2014-03-18 11:07:53.449	2014-03-18 11:07:53.449	2014-03-18 11:08:13.791	4	5	28	24	5	10	0.5593	0.0000	0.6049	0.3881	0.4223	0.7738	0.8420	1	0.3333	0	1	0.3333	0	0	0.0000	0
