participant	trial_id	bloc	bloc_name	trial_id_withinbloc	trial_file_id	order	dwell	practice	diff_global	diff_crowding	diff_innercrowding	diff_deformation	diff_deformation_sum	global	crowding	innercrowding	deformation	deformation_sum	trial_start	trial_end	task_start	task_end	highlight_start	highlight_end	animation_start	animation_end	answer_start	answer_end	target_0	target_1	target_2	answer_0	answer_1	answer_2	error_0	error_1	error_2	error	error_asifA	normalized_error	normalized_error_asifA	common_targets	common_targets_percent	all_common_targets	correct_targets	correct_targets_percent	all_correct_targets	targets_switch	targets_switch_percent	any_targets_switch
fanny	0	0	off	0	0	INIT	0.0	true	H	H	M	M	M	0.7570	0.7177	6.9640	0.0244	1.4622	2014-03-18 16:16:08.469	2014-03-18 16:16:41.652	2014-03-18 16:16:10.525	2014-03-18 16:16:41.573	2014-03-18 16:16:10.525	2014-03-18 16:16:19.037	2014-03-18 16:16:22.717	2014-03-18 16:16:23.747	2014-03-18 16:16:23.747	2014-03-18 16:16:41.573	7	8	26	7	11	20	0.0000	0.4372	0.1067	0.1813	0.1813	0.3374	0.3374	1	0.3333	0	1	0.3333	0	0	0.0000	0
fanny	1	0	off	1	1	INIT	0.0	true	M	H	E	M	M	0.7342	0.6234	3.4518	0.0169	1.0115	2014-03-18 16:16:43.729	2014-03-18 16:17:28.435	2014-03-18 16:16:57.74	2014-03-18 16:17:22.604	2014-03-18 16:16:57.74	2014-03-18 16:17:03.916	2014-03-18 16:17:04.965	2014-03-18 16:17:06.002	2014-03-18 16:17:06.002	2014-03-18 16:17:22.604	0	11	12	4	5	12	0.1912	0.4836	0.0000	0.2249	0.2249	0.3733	0.3733	1	0.3333	0	1	0.3333	0	0	0.0000	0
fanny	2	0	off	2	2	INIT	0.0	true	H	H	M	M	M	0.7764	0.6506	6.3965	0.0113	0.6799	2014-03-18 16:17:30.478	2014-03-18 16:18:00.171	2014-03-18 16:17:32.9	2014-03-18 16:17:57.891	2014-03-18 16:17:32.9	2014-03-18 16:17:40.731	2014-03-18 16:17:44.027	2014-03-18 16:17:45.043	2014-03-18 16:17:45.043	2014-03-18 16:17:57.891	5	13	28	5	24	19	0.0000	0.4878	0.5727	0.3535	0.3538	0.6394	0.6400	1	0.3333	0	1	0.3333	0	0	0.0000	0
fanny	3	0	off	3	3	INIT	0.0	true	H	H	M	M	M	0.7784	0.7074	8.3853	0.0160	0.9620	2014-03-18 16:18:02.211	2014-03-18 16:18:24.33	2014-03-18 16:18:03.867	2014-03-18 16:18:19.739	2014-03-18 16:18:03.867	2014-03-18 16:18:07.971	2014-03-18 16:18:10.171	2014-03-18 16:18:11.188	2014-03-18 16:18:11.188	2014-03-18 16:18:19.739	0	3	13	1	3	13	0.6765	0.4629	0.5118	0.5504	0.0967	1.0836	0.1903	2	0.6667	0	0	0.0000	0	2	0.6667	1
fanny	4	1	on1	0	0	YORDER	0.2	true	M	M	M	M	M	0.6441	0.6037	6.7516	0.0232	1.3904	2014-03-18 16:18:33.474	2014-03-18 16:18:55.842	2014-03-18 16:18:34.275	2014-03-18 16:18:51.914	2014-03-18 16:18:34.275	2014-03-18 16:18:38.746	2014-03-18 16:18:40.746	2014-03-18 16:18:41.755	2014-03-18 16:18:41.755	2014-03-18 16:18:51.914	7	8	26	7	24	23	0.5118	0.3010	0.4141	0.4090	0.2795	0.7674	0.5245	1	0.3333	0	0	0.0000	0	1	0.3333	1
fanny	5	1	on1	1	1	YORDER	0.2	true	M	M	E	M	M	0.7000	0.5211	3.2820	0.0160	0.9627	2014-03-18 16:18:57.885	2014-03-18 16:19:26.513	2014-03-18 16:19:01.386	2014-03-18 16:19:21.122	2014-03-18 16:19:01.386	2014-03-18 16:19:07.889	2014-03-18 16:19:09.29	2014-03-18 16:19:10.304	2014-03-18 16:19:10.304	2014-03-18 16:19:21.122	0	11	12	16	15	12	0.4688	0.1474	0.6666	0.4276	0.3894	0.7034	0.6407	1	0.3333	0	0	0.0000	0	1	0.3333	1
fanny	6	1	on1	2	2	YORDER	0.2	true	M	M	M	E	E	0.6970	0.5526	6.0365	0.0100	0.6010	2014-03-18 16:19:28.546	2014-03-18 16:19:49.872	2014-03-18 16:19:29.913	2014-03-18 16:19:47.617	2014-03-18 16:19:29.913	2014-03-18 16:19:34.817	2014-03-18 16:19:36.961	2014-03-18 16:19:37.975	2014-03-18 16:19:37.975	2014-03-18 16:19:47.617	5	13	28	29	13	28	0.1073	0.0000	0.0000	0.0358	0.0358	0.0649	0.0649	2	0.6667	0	2	0.6667	0	0	0.0000	0
fanny	7	1	on1	3	3	YORDER	0.2	true	M	H	M	M	M	0.6515	0.6111	8.0479	0.0154	0.9263	2014-03-18 16:19:51.902	2014-03-18 16:20:17.528	2014-03-18 16:19:53.352	2014-03-18 16:20:14.544	2014-03-18 16:19:53.352	2014-03-18 16:19:57.504	2014-03-18 16:20:03.992	2014-03-18 16:20:05.008	2014-03-18 16:20:05.008	2014-03-18 16:20:14.544	0	3	13	16	14	4	0.0843	0.0957	0.2305	0.1368	0.1368	0.2681	0.2681	0	0.0000	0	0	0.0000	0	0	0.0000	0
fanny	8	2	on2	0	0	YORDER	0.6	true	M	M	M	M	M	0.6797	0.4913	4.5999	0.0190	1.1376	2014-03-18 16:20:30.042	2014-03-18 16:20:55.439	2014-03-18 16:20:31.848	2014-03-18 16:20:50.848	2014-03-18 16:20:31.848	2014-03-18 16:20:36.255	2014-03-18 16:20:37.888	2014-03-18 16:20:38.898	2014-03-18 16:20:38.898	2014-03-18 16:20:50.848	20	22	28	20	7	23	0.0000	0.3753	0.6344	0.3365	0.3365	0.6267	0.6267	1	0.3333	0	1	0.3333	0	0	0.0000	0
fanny	9	2	on2	1	1	YORDER	0.6	true	M	M	M	H	H	0.6835	0.5072	4.8063	0.0331	1.9875	2014-03-18 16:20:57.473	2014-03-18 16:21:16.959	2014-03-18 16:20:58.568	2014-03-18 16:21:13.935	2014-03-18 16:20:58.568	2014-03-18 16:21:02.023	2014-03-18 16:21:03.951	2014-03-18 16:21:04.978	2014-03-18 16:21:04.978	2014-03-18 16:21:13.935	9	13	27	9	6	27	0.0000	0.6439	0.0000	0.2146	0.2146	0.4169	0.4169	2	0.6667	0	2	0.6667	0	0	0.0000	0
