participant	trial	trial_withinbloc	trial_file_id	is_idTrack	is_practice	complexity_globalcrowding	complexity_crowding	complexity_innercrowding	complexity_deformation	globalcrowding	crowding	innercrowding	deformation	trial_start	trial_end	task_start	task_end	highlight_start	highlight_end	animation_start	animation_end	answer_start	answer_end	target_0	target_1	target_2	answer_0	answer_1	answer_2	error_0	error_1	error_2	error	normalized_error	noID_hits	noID_accuracy	noID_perfect	ID_hits	ID_accuracy	ID_perfect	ID_wrongID	ID_wrongID_percent	any_ID_wrongID
p01	0	0	0	true	true	L	L	L	L	0.6060	0.4209	2.4079	0.0019	2014-02-14 11:02:58.338	2014-02-14 11:03:32.253	2014-02-14 11:03:00.522	2014-02-14 11:03:25.42	2014-02-14 11:03:00.522	2014-02-14 11:03:07.246	2014-02-14 11:03:13.158	2014-02-14 11:03:14.999	2014-02-14 11:03:14.999	2014-02-14 11:03:25.42	15	22	28	15	22	1	0.0000	0.0000	0.1478	0.0493	0.0816	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	1	1	1	true	true	H	H	L	H	0.7532	0.6720	3.7175	0.0302	2014-02-14 11:03:32.58	2014-02-14 11:04:01.815	2014-02-14 11:03:35.373	2014-02-14 11:03:56.713	2014-02-14 11:03:35.373	2014-02-14 11:03:41.815	2014-02-14 11:03:43.282	2014-02-14 11:03:45.154	2014-02-14 11:03:45.154	2014-02-14 11:03:56.713	7	17	26	26	17	1	0.4891	0.0000	0.2072	0.2321	0.5191	2	0.6667	0	1	0.3333	0	1	0.3333	1
p01	2	2	2	true	true	L	L	H	H	0.6039	0.4695	12.3258	0.0297	2014-02-14 11:04:02.111	2014-02-14 11:04:23.358	2014-02-14 11:04:03.421	2014-02-14 11:04:21.159	2014-02-14 11:04:03.421	2014-02-14 11:04:08.991	2014-02-14 11:04:12.501	2014-02-14 11:04:14.373	2014-02-14 11:04:14.373	2014-02-14 11:04:21.159	2	9	17	2	9	17	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	3	3	3	true	true	H	H	L	L	0.7419	0.7015	3.8240	0.0072	2014-02-14 11:04:23.655	2014-02-14 11:04:48.1	2014-02-14 11:04:25.932	2014-02-14 11:04:45.323	2014-02-14 11:04:25.932	2014-02-14 11:04:31.767	2014-02-14 11:04:34.2	2014-02-14 11:04:36.072	2014-02-14 11:04:36.072	2014-02-14 11:04:45.323	3	19	25	3	10	25	0.0000	0.1223	0.0000	0.0408	0.0786	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	4	4	4	true	true	M	L	H	L	0.6709	0.4635	16.2866	0.0107	2014-02-14 11:04:48.381	2014-02-14 11:05:15.681	2014-02-14 11:04:50.268	2014-02-14 11:05:11.25	2014-02-14 11:04:50.268	2014-02-14 11:04:57.054	2014-02-14 11:05:01.422	2014-02-14 11:05:03.294	2014-02-14 11:05:03.294	2014-02-14 11:05:11.25	3	8	16	3	8	4	0.0000	0.0000	0.6061	0.2020	0.3283	2	0.6667	0	2	0.6667	0	0	0.0000	0
p01	5	5	5	true	true	M	L	L	H	0.7302	0.4517	3.4935	0.0290	2014-02-14 11:05:15.993	2014-02-14 11:05:37.521	2014-02-14 11:05:19.175	2014-02-14 11:05:36.148	2014-02-14 11:05:19.175	2014-02-14 11:05:23.216	2014-02-14 11:05:26.492	2014-02-14 11:05:28.364	2014-02-14 11:05:28.364	2014-02-14 11:05:36.148	3	6	22	3	6	22	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	6	6	6	true	true	M	H	H	H	0.7281	0.6184	10.1395	0.0337	2014-02-14 11:05:37.817	2014-02-14 11:05:56.912	2014-02-14 11:05:38.909	2014-02-14 11:05:52.809	2014-02-14 11:05:38.909	2014-02-14 11:05:43.823	2014-02-14 11:05:46.319	2014-02-14 11:05:48.191	2014-02-14 11:05:48.191	2014-02-14 11:05:52.809	3	9	21	8	6	21	0.2077	0.1706	0.0000	0.1261	0.2888	1	0.3333	0	1	0.3333	0	0	0.0000	0
p01	7	7	7	true	true	H	H	H	L	0.7492	0.6188	10.7580	0.0108	2014-02-14 11:05:57.208	2014-02-14 11:06:17.987	2014-02-14 11:05:58.737	2014-02-14 11:06:13.619	2014-02-14 11:05:58.737	2014-02-14 11:06:03.776	2014-02-14 11:06:05.897	2014-02-14 11:06:07.769	2014-02-14 11:06:07.769	2014-02-14 11:06:13.619	16	18	22	3	0	22	0.1308	0.1597	0.0000	0.0969	0.1753	1	0.3333	0	1	0.3333	0	0	0.0000	0
p01	8	0	0	true	false	H	H	L	H	0.7588	0.6900	3.5865	0.0294	2014-02-14 11:06:27.207	2014-02-14 11:06:54.741	2014-02-14 11:06:30.92	2014-02-14 11:06:52.245	2014-02-14 11:06:30.92	2014-02-14 11:06:40.716	2014-02-14 11:06:43.134	2014-02-14 11:06:45.006	2014-02-14 11:06:45.006	2014-02-14 11:06:52.245	0	9	17	17	9	0	0.1087	0.0000	0.1087	0.0725	0.1300	3	1.0000	1	1	0.3333	0	2	0.6667	1
p01	9	1	23	true	false	H	H	L	H	0.7419	0.6108	3.6493	0.0326	2014-02-14 11:06:55.053	2014-02-14 11:07:09.577	2014-02-14 11:06:56.098	2014-02-14 11:07:08.609	2014-02-14 11:06:56.098	2014-02-14 11:07:00.341	2014-02-14 11:07:01.808	2014-02-14 11:07:03.68	2014-02-14 11:07:03.68	2014-02-14 11:07:08.609	4	16	28	4	16	28	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	10	2	17	true	false	M	H	L	H	0.7223	0.6108	3.4930	0.0301	2014-02-14 11:07:09.889	2014-02-14 11:07:28.297	2014-02-14 11:07:10.559	2014-02-14 11:07:25.754	2014-02-14 11:07:10.559	2014-02-14 11:07:14.21	2014-02-14 11:07:15.988	2014-02-14 11:07:17.86	2014-02-14 11:07:17.86	2014-02-14 11:07:25.754	3	4	14	3	4	14	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
p01	11	3	35	true	false	M	H	L	L	0.6923	0.6181	3.7883	0.0084	2014-02-14 11:07:28.593	2014-02-14 11:07:47.344	2014-02-14 11:07:29.903	2014-02-14 11:07:46.58	2014-02-14 11:07:29.903	2014-02-14 11:07:34.849	2014-02-14 11:07:37.282	2014-02-14 11:07:39.154	2014-02-14 11:07:39.154	2014-02-14 11:07:46.58	18	26	29	18	26	29	0.0000	0.0000	0.0000	0.0000	0.0000	3	1.0000	1	3	1.0000	1	0	0.0000	0
